rooms;bedrooms;bathrooms;surface_total;surface_covered;price;property_type
7;7;2;140;140;153000;Departamento
2;1;2;70;58;159000;PH
2;1;1;45;45;125000;PH
2;1;1;85;50;295000;PH
2;1;1;50;35;40000;PH
2;1;1;56;56;150000;PH
2;1;1;70;70;159500;PH
2;1;1;70;70;159500;PH
1;1;1;45;37;89000;PH
1;1;1;45;37;89000;PH
2;1;2;66;49;170000;PH
2;1;1;68;59;149000;Departamento
2;1;1;50;44;115000;Departamento
1;1;1;50;35;45000;
1;1;1;32;32;35000;Departamento
2;1;2;99;84;215000;Departamento
2;1;1;50;50;109000;Departamento
2;1;1;53;42;145000;Departamento
2;1;1;70;57;135000;Departamento
2;1;1;76;59;199800;Departamento
2;1;1;31;31;75000;Departamento
1;1;1;22;22;48000;Departamento
2;1;1;45;45;95000;Departamento
2;1;1;45;45;95000;Departamento
2;1;1;58;48;154000;Departamento
2;1;1;50;48;132000;Departamento
2;1;1;45;45;110000;Departamento
2;1;1;45;41;150000;Departamento
1;1;1;31;31;95000;Departamento
2;1;1;41;41;97000;Departamento
2;1;1;47;43;120000;Departamento
2;1;1;33;33;88000;Departamento
2;1;1;37;33;92000;Departamento
2;1;1;48;45;101000;Departamento
2;1;1;52;48;188000;Departamento
2;1;2;81;76;410000;Departamento
2;1;1;42;38;169000;Departamento
2;1;1;39;39;120000;Departamento
2;1;1;49;41;169000;Departamento
2;1;1;41;41;92000;Departamento
2;1;1;49;41;169000;Departamento
2;1;1;50;47;142000;Departamento
2;1;1;42;40;115000;Departamento
2;1;1;49;41;169000;Departamento
2;1;1;50;47;142000;Departamento
2;1;1;49;41;169000;Departamento
2;1;1;52;46;159500;Departamento
2;1;1;46;40;145000;Departamento
2;1;1;49;41;169000;Departamento
2;1;1;49;41;169000;Departamento
2;1;1;54;54;240000;Departamento
2;1;1;46;40;145000;Departamento
1;1;1;49;41;169000;Departamento
2;1;1;51;43;213000;Departamento
2;1;2;81;76;410000;Departamento
2;1;1;49;41;169000;Departamento
2;1;1;47;47;115000;Departamento
1;1;1;24;24;85000;Departamento
2;1;1;57;57;145000;Departamento
2;1;1;42;38;169000;Departamento
1;1;1;35;34;135500;Departamento
2;1;1;40;40;130000;Departamento
1;1;1;43;38;170000;Departamento
2;1;1;57;46;196100;Departamento
2;1;1;57;46;181800;Departamento
2;1;1;31;31;114300;Departamento
1;1;1;43;37;151500;Departamento
1;1;1;43;37;151500;Departamento
2;1;1;41;41;125600;Departamento
2;1;1;41;31;146000;Departamento
2;1;1;41;41;130700;Departamento
2;1;1;57;46;203200;Departamento
2;1;1;41;41;140950;Departamento
2;1;1;43;35;105000;Departamento
2;1;1;41;41;138400;Departamento
1;1;1;43;37;151500;Departamento
1;1;1;43;37;151500;Departamento
1;1;1;43;37;151500;Departamento
2;1;1;57;46;192500;Departamento
2;1;1;45;45;95000;Departamento
2;1;1;31;31;82000;
2;1;1;37;37;129000;Departamento
1;1;1;25;25;95000;Departamento
1;1;1;31;28;135000;Departamento
1;1;1;48;32;160000;Departamento
2;1;1;31;31;95000;Departamento
2;1;1;43;40;109000;Departamento
2;1;1;58;49;185000;Departamento
2;1;1;50;45;149000;Departamento
2;1;1;40;40;82000;Departamento
2;1;1;34;34;75000;
2;1;1;56;34;109000;Departamento
2;1;1;58;50;150300;Departamento
2;1;1;58;50;145300;Departamento
2;1;1;43;37;151500;Departamento
2;1;1;43;37;151500;Departamento
2;1;1;43;40;95000;Departamento
